"window_years","mean_accuracy","sd_accuracy","mean_logloss","sd_logloss","mean_brier","sd_brier","n_test_years"
3,0.797143945189691,0.00740045740685373,0.357666641152908,0.011555805695531,0.123464442194006,0.00333782210882011,17
5,0.797100216916451,0.00806084163628652,0.358587411355048,0.0131303734905253,0.12357922343747,0.0036043844065724,15
4,0.796946230689076,0.00788522264354235,0.357934302488441,0.0124024932397832,0.123436130078718,0.00344342933186565,16
2,0.796448209180946,0.00770558768733102,0.357867348739848,0.011332823417815,0.123616597636131,0.00327781502238504,18
1,0.794386028164441,0.00885290695215593,0.360821162125107,0.0112664395378989,0.124242650390026,0.00321626898244947,19
