"test_year","term","estimate","std.error","statistic","p.value"
2004,"wr_diff_lag1",0.0262529750857764,0.0521448854254551,0.503462130016701,0.614639399215543
2004,"wr_diff_lag2",0.105799799261756,0.0551283468370793,1.91915421614992,0.0549648197850792
2004,"wr_diff_lag3",0.0244199781659958,0.0541651849381296,0.45084269893825,0.652102924467543
2005,"wr_diff_lag1",0.0270934744586737,0.0371193250577655,0.729902130938819,0.465450009674139
2005,"wr_diff_lag2",0.161634339457815,0.0374765410236482,4.31294711419127,1.61092662800209e-05
2005,"wr_diff_lag3",0.0505715671965274,0.0377132632325019,1.34094912139409,0.179936972153265
2006,"wr_diff_lag1",0.0241488398239072,0.0302308678371388,0.798813978943739,0.424398283666259
2006,"wr_diff_lag2",0.124232860281611,0.030313819157995,4.0982252890707,4.163299640331e-05
2006,"wr_diff_lag3",0.0793859169126505,0.030554694692274,2.59815775324123,0.00937254242978515
2007,"wr_diff_lag1",0.0797664722615495,0.0306040155446604,2.60640542889368,0.00914980871193428
2007,"wr_diff_lag2",0.117664584791184,0.030072293140521,3.91272405603936,9.12607977030512e-05
2007,"wr_diff_lag3",0.0580844659200547,0.0297328378835666,1.95354597995364,0.0507549345135953
2008,"wr_diff_lag1",0.097337248264313,0.0304270715538053,3.19903438923421,0.00137888719830271
2008,"wr_diff_lag2",0.0720310713807819,0.030455821831397,2.36510023533579,0.01802519164739
2008,"wr_diff_lag3",0.0248027802441298,0.0295117679802148,0.840436949109861,0.400663439526577
2009,"wr_diff_lag1",0.130360970198491,0.0307437385152865,4.24024456666753,2.23276383640578e-05
2009,"wr_diff_lag2",0.0759063069339433,0.031106663442467,2.44019443211371,0.0146793588152167
2009,"wr_diff_lag3",-0.0232239041211126,0.0303267959873111,-0.765788253095697,0.443802304899979
2010,"wr_diff_lag1",0.099640168125445,0.0308018357021513,3.23487759265224,0.00121694890918692
2010,"wr_diff_lag2",0.0946983687189541,0.0311769654077257,3.03744663665976,0.00238591645224442
2010,"wr_diff_lag3",0.044066290687058,0.0308335749331414,1.42916579678516,0.152956585822958
2011,"wr_diff_lag1",0.120742842526848,0.0315431554908725,3.8278618815352,0.000129261253722452
2011,"wr_diff_lag2",0.141292000770558,0.0314699739174855,4.48974000235993,7.13101602989508e-06
2011,"wr_diff_lag3",0.0293816784576302,0.0317467546328941,0.925501796873014,0.354704949456679
2012,"wr_diff_lag1",0.0858025811470468,0.0318292123437022,2.69571801590698,0.00702370977318675
2012,"wr_diff_lag2",0.163345701729362,0.0318828974086178,5.1233016760017,3.00231412714138e-07
2012,"wr_diff_lag3",0.0686269684294191,0.0318381939444593,2.15549187711893,0.0311233635890055
2013,"wr_diff_lag1",0.125375340712746,0.032231294157327,3.88986368653909,0.000100300546861228
2013,"wr_diff_lag2",0.135901345350938,0.0322716837820681,4.21116376414337,2.54058482165832e-05
2013,"wr_diff_lag3",0.0335217443685485,0.0328991706211893,1.01892369125434,0.308239195334393
2014,"wr_diff_lag1",0.118049503667683,0.0324846142504511,3.63401279010242,0.000279047019669653
2014,"wr_diff_lag2",0.0983513335742211,0.0329706111315138,2.98300001725523,0.00285437978241836
2014,"wr_diff_lag3",0.0729175104202108,0.0326241760046801,2.23507592681422,0.0254123645033436
2015,"wr_diff_lag1",0.147527920801779,0.0324586064201955,4.5451095124647,5.49066992777719e-06
2015,"wr_diff_lag2",0.0971321788326142,0.0332905324956079,2.91771178023148,0.00352610109835474
2015,"wr_diff_lag3",0.061524430560891,0.0331822066231583,1.85413921562264,0.063719245544345
2016,"wr_diff_lag1",0.130246916038059,0.0318509423633067,4.08926412764814,4.32743867028313e-05
2016,"wr_diff_lag2",0.108717978316408,0.033063011548673,3.28820555732986,0.0010082819171117
2016,"wr_diff_lag3",0.0368742874650259,0.032301557033245,1.14156377746976,0.253635387699428
2017,"wr_diff_lag1",0.120235241960921,0.0314550345997736,3.82244825004219,0.000132133214681001
2017,"wr_diff_lag2",0.0757064713979851,0.0327369853998709,2.31256697809089,0.0207464588487595
2017,"wr_diff_lag3",0.0631888160330988,0.0327797686563604,1.92767730289756,0.0538952769547709
2018,"wr_diff_lag1",0.110201403617327,0.0311957476686918,3.53257773423799,0.000411529219585317
2018,"wr_diff_lag2",0.0805899199576138,0.0327154651854714,2.463358521749,0.0137642204889458
2018,"wr_diff_lag3",0.0530783552623207,0.0325985654866835,1.62824205512979,0.10347357066699
2019,"wr_diff_lag1",0.0759046640737738,0.0312277422706153,2.43068049607924,0.0150704975738689
2019,"wr_diff_lag2",0.092334884914962,0.0331481103947246,2.78552484034374,0.00534411451682916
2019,"wr_diff_lag3",0.0645075244970414,0.0334022719439335,1.93123164212658,0.0534544125949941
