"year","n_matches","mean_lag1","mean_lag2","mean_lag3","zero_rate_lag1","zero_rate_lag2","zero_rate_lag3"
2003,3022,0.116012412955912,0.0756236193548401,0.0367872265878423,0.028788881535407,0.0489741892786234,0.0843812045003309
2004,3195,0.12105974959548,0.0845251549192758,0.043419786754756,0.037245696400626,0.0472613458528951,0.0932707355242566
2005,3186,0.108384527553566,0.0808645800728231,0.0602621593644152,0.0219711236660389,0.0599497802887633,0.0699937225360954
2006,3187,0.116382577256435,0.0954915972409442,0.0701340203694052,0.0304361468465642,0.0407907122685911,0.0922497646689677
2007,3200,0.122541098218348,0.096333881002224,0.0651384711396968,0.025,0.0553125,0.0678125
2008,2957,0.119297377377172,0.104449750797536,0.0847233505395282,0.0284071694284748,0.0449780182617518,0.0835306053432533
2009,3000,0.115419663819785,0.0948835601167977,0.0729558319861614,0.0276666666666667,0.036,0.058
2010,2968,0.112279878257814,0.092500127386707,0.0916760455706131,0.0394204851752022,0.0454851752021563,0.055256064690027
2011,2937,0.112962039807889,0.0925693314338659,0.0802502615976842,0.0217909431392577,0.0476676881171263,0.052434456928839
2012,3001,0.122256613098237,0.092834227168866,0.0790706789829855,0.0216594468510496,0.0246584471842719,0.0603132289236921
2013,2865,0.125337241709053,0.107473219451209,0.075611163602133,0.0254799301919721,0.0321116928446771,0.0404886561954625
2014,2754,0.127694664929022,0.101927893352625,0.103474825789661,0.0261437908496732,0.0406681190994916,0.0519244734931009
2015,2875,0.125511439453869,0.104188511922409,0.0872929266382168,0.016695652173913,0.0372173913043478,0.0511304347826087
2016,2881,0.129885492971444,0.104858365424265,0.0798570286875023,0.026032627559875,0.0315862547726484,0.0572717806317251
2017,2860,0.122830204349402,0.0957366041951108,0.0748658132862414,0.0237762237762238,0.0412587412587413,0.0517482517482517
2018,2941,0.101412860361676,0.0923320888379192,0.0620176499660021,0.027881672900374,0.0452227133628018,0.060183611016661
2019,2680,0.112221492052778,0.0666150954937877,0.074617571911344,0.0171641791044776,0.0369402985074627,0.0638059701492537
