"surface","winner_age_mean","winner_age_sd","winner_ht_mean","winner_ht_sd","winner_rank_mean","winner_rank_sd","winner_rank_points_mean","winner_rank_points_sd"
"Carpet",25.1577239958805,3.57246317223591,185.515458422175,6.41633547359687,97.0638516992791,164.158789694919,1041.3728115345,944.126222275429
"Clay",26.055112168937,3.66858773620739,185.030068243625,6.39654301330032,77.9540183318985,121.619136799133,1397.51460981414,1816.64010393375
"Grass",26.8541076487252,4.0982195400506,186.91180183023,7.16471040235502,71.1180358829084,99.6488352291171,1549.3695310041,1984.88539855242
"Hard",26.3257715905198,3.86632387697796,186.46001887386,7.02928779537567,69.3409324488461,117.911980864897,1702.86524027542,2115.95739700181
